,symbol,D_OPEN,D_HIGH,D_LOW,price,D_MAX,D_MIN,D_C_MAX,D_C_MIN,PCT,D_CHANGE
153,UNIUSDT,5.268,6.386,5.06,5.769,21.222,-3.948,-9.662,14.012,53.47,9.51
170,BNBUSDT,240.45,261.38,230.51,237.03,8.705,-4.134,-9.316,2.829,21.12,-1.422
118,ZENUSDT,8.697,9.748,7.624,8.842,12.085,-12.338,-9.294,15.976,57.34,1.667
156,ETHUSDT,1933.42,2031.28,1823.74,1842.8,5.061,-5.673,-9.279,1.045,9.18,-4.687
14,APEUSDT,2.224,2.331,1.804,2.117,4.811,-18.885,-9.181,17.35,59.39,-4.811
39,IOTAUSDT,0.1825,0.1967,0.175,0.1787,7.781,-4.11,-9.151,2.114,17.05,-2.082
121,QNTUSDT,107.75,112.4,98.73,102.32,4.316,-8.371,-8.968,3.636,26.26,-5.039
3,BTCUSDT,30460.2,31850.0,28830.0,29089.0,4.563,-5.352,-8.669,0.898,8.58,-4.502
7,CTKUSDT,0.6016,0.6531,0.546,0.5976,8.561,-9.242,-8.498,9.451,48.18,-0.665
126,DEFIUSDT,484.7,541.3,464.5,496.4,11.677,-4.168,-8.295,6.868,41.54,2.414
117,OPUSDT,1.3338,1.6595,1.154,1.522,24.419,-13.48,-8.286,31.889,72.8,14.11
104,ARUSDT,5.491,6.266,5.371,5.747,14.114,-2.185,-8.283,7.001,42.01,4.662
184,ROSEUSDT,0.04943,0.05484,0.04536,0.05036,10.945,-8.234,-8.169,11.023,52.74,1.881
36,ASTRUSDT,0.04395,0.04683,0.04077,0.04326,6.553,-7.235,-7.623,6.107,41.09,-1.57
145,KNCUSDT,0.5642,0.6846,0.5306,0.6328,21.34,-5.955,-7.566,19.261,66.36,12.159
64,THETAUSDT,0.7298,0.8442,0.6932,0.786,15.676,-5.015,-6.894,13.387,61.46,7.701
151,GALUSDT,1.2481,1.3356,1.1053,1.2477,7.011,-11.441,-6.581,12.883,61.83,-0.032
142,XMRUSDT,168.31,172.4,155.21,161.1,2.43,-7.783,-6.555,3.795,34.26,-4.284
17,BTCDOMUSDT,1834.6,1884.8,1723.6,1779.3,2.736,-6.05,-5.597,3.232,34.55,-3.014
79,TRBUSDT,11.02,12.25,9.83,11.63,11.162,-10.799,-5.061,18.311,74.38,5.535
109,BLUEBIRDUSDT,6.611,7.155,6.327,6.854,8.229,-4.296,-4.207,8.329,63.65,3.676
58,TOMOUSDT,1.0555,1.3542,0.93,1.2992,28.299,-11.89,-4.061,39.699,87.03,23.089
69,DOGEUSDT,0.06642,0.07823,0.063,0.0751,17.781,-5.149,-4.001,19.206,79.45,13.068
100,FOOTBALLUSDT,386.05,427.26,382.6,418.4,10.675,-0.894,-2.074,9.357,80.16,8.38
87,USDCUSDT,0.99966,0.99983,0.99893,0.99979,0.017,-0.073,-0.004,0.086,95.56,0.013
50,COCOSUSDT,1.454,1.454,1.454,1.454,0.0,0.0,0.0,0.0,,0.0
