,symbol,D_OPEN,D_HIGH,D_LOW,D_MAX,D_MIN,price,PCT,D_CHANGE,D_C_MIN,D_C_MAX
128,CRVUSDT,0.804,0.814,0.796,1.244,-0.995,0.797,5.56,-0.871,0.126,-2.088
129,XLMUSDT,0.09978,0.10082,0.09884,1.042,-0.942,0.09965,40.91,-0.13,0.82,-1.16
130,CVXUSDT,4.06,4.116,4.034,1.379,-0.64,4.058,29.27,-0.049,0.595,-1.409
131,FILUSDT,4.317,4.345,4.278,0.649,-0.903,4.299,31.34,-0.417,0.491,-1.059
132,RLCUSDT,1.221,1.2305,1.2074,0.778,-1.114,1.2164,38.96,-0.377,0.745,-1.146
133,ALPHAUSDT,0.09866,0.1,0.0976,1.358,-1.074,0.09862,42.5,-0.041,1.045,-1.38
134,AAVEUSDT,69.27,73.2,68.86,5.673,-0.592,73.0,95.39,5.385,6.012,-0.273
135,RUNEUSDT,1.014,1.02,0.998,0.592,-1.578,1.004,27.27,-0.986,0.601,-1.569
136,ANKRUSDT,0.02391,0.02455,0.02335,2.677,-2.342,0.02411,63.33,0.836,3.255,-1.792
137,KEYUSDT,0.005939,0.006014,0.005893,1.263,-0.775,0.005914,17.36,-0.421,0.356,-1.663
138,XTZUSDT,0.813,0.821,0.807,0.984,-0.738,0.816,64.29,0.369,1.115,-0.609
139,MANAUSDT,0.3838,0.3922,0.3797,2.189,-1.068,0.3876,63.2,0.99,2.081,-1.173
140,QTUMUSDT,2.79,2.799,2.734,0.323,-2.007,2.747,20.0,-1.541,0.475,-1.858
141,XMRUSDT,163.5,164.63,162.86,0.691,-0.391,163.78,51.98,0.171,0.565,-0.516
142,COMPUSDT,59.35,66.8,58.52,12.553,-1.398,64.82,76.09,9.217,10.766,-2.964
143,ONEUSDT,0.01201,0.01209,0.0118,0.666,-1.749,0.01193,44.83,-0.666,1.102,-1.323
144,KNCUSDT,0.556,0.573,0.5506,3.058,-0.971,0.5662,69.64,1.835,2.833,-1.187
145,CHZUSDT,0.07586,0.07692,0.07516,1.397,-0.923,0.076,47.73,0.185,1.118,-1.196
146,EDUUSDT,0.6912,0.7181,0.6726,3.892,-2.691,0.6774,10.55,-1.997,0.714,-5.668
147,CELRUSDT,0.01562,0.01567,0.01521,0.32,-2.625,0.01529,17.39,-2.113,0.526,-2.425
148,TLMUSDT,0.01105,0.01121,0.01095,1.448,-0.905,0.0111,57.69,0.452,1.37,-0.981
149,ONTUSDT,0.194,0.1977,0.1907,1.907,-1.701,0.1955,68.57,0.773,2.517,-1.113
150,GALUSDT,1.1781,1.1943,1.1678,1.375,-0.874,1.1747,26.04,-0.289,0.591,-1.641
151,LITUSDT,0.7,0.707,0.689,1.0,-1.571,0.695,33.33,-0.714,0.871,-1.697
152,UNIUSDT,5.233,5.298,5.198,1.242,-0.669,5.215,17.0,-0.344,0.327,-1.567
153,JASMYUSDT,0.004027,0.004098,0.003989,1.763,-0.944,0.004051,56.88,0.596,1.554,-1.147
