,symbol,D_OPEN,D_HIGH,D_LOW,price,D_MAX,D_MIN,D_C_MAX,D_C_MIN,PCT,D_CHANGE
0,WAVESUSDT,1.9696,1.9723,1.9382,1.9454,0.137,-1.594,-1.364,0.371,21.11,-1.229
135,EGLDUSDT,32.68,32.78,32.47,32.59,0.306,-0.643,-0.58,0.37,38.71,-0.275
174,STXUSDT,0.6007,0.6084,0.5966,0.5988,1.282,-0.683,-1.578,0.369,18.64,-0.316
7,FTMUSDT,0.2461,0.247,0.2441,0.245,0.366,-0.813,-0.81,0.369,31.03,-0.447
84,BNBUSDT,242.65,243.18,241.8,242.69,0.218,-0.35,-0.201,0.368,64.49,0.016
116,DOGEUSDT,0.0802,0.0805,0.07959,0.07988,0.374,-0.761,-0.77,0.364,31.87,-0.399
69,ALGOUSDT,0.1114,0.1125,0.1105,0.1109,0.987,-0.808,-1.422,0.362,20.0,-0.449
157,ICXUSDT,0.2283,0.2305,0.2247,0.2255,0.964,-1.577,-2.169,0.356,13.79,-1.226
146,BLUEBIRDUSDT,7.11,7.121,7.072,7.097,0.155,-0.534,-0.337,0.354,51.02,-0.183
18,TRXUSDT,0.0832,0.08375,0.08182,0.08211,0.661,-1.659,-1.958,0.354,15.03,-1.31
43,ARBUSDT,1.1816,1.1892,1.1715,1.1756,0.643,-0.855,-1.144,0.35,23.16,-0.508
23,SXPUSDT,0.352,0.3521,0.346,0.3472,0.028,-1.705,-1.392,0.347,19.67,-1.364
60,DOTUSDT,5.245,5.274,5.202,5.22,0.553,-0.82,-1.024,0.346,25.0,-0.477
127,FILUSDT,4.418,4.441,4.386,4.401,0.521,-0.724,-0.901,0.342,27.27,-0.385
107,CTSIUSDT,0.1485,0.1488,0.146,0.1465,0.202,-1.684,-1.546,0.342,17.86,-1.347
137,MANAUSDT,0.3912,0.3944,0.3894,0.3907,0.818,-0.46,-0.938,0.334,26.0,-0.128
45,XEMUSDT,0.0307,0.0308,0.03,0.0301,0.326,-2.28,-2.273,0.333,12.5,-1.954
119,DEFIUSDT,527.5,527.7,522.3,524.0,0.038,-0.986,-0.701,0.325,31.48,-0.664
25,SANDUSDT,0.4385,0.439,0.4322,0.4336,0.114,-1.437,-1.23,0.324,20.59,-1.117
51,ATOMUSDT,9.07,9.096,8.996,9.025,0.287,-0.816,-0.781,0.322,29.0,-0.496
76,STGUSDT,0.5998,0.6013,0.5946,0.5965,0.25,-0.867,-0.798,0.32,28.36,-0.55
161,HOOKUSDT,0.965,0.968,0.95,0.953,0.311,-1.554,-1.55,0.316,16.67,-1.244
85,LINAUSDT,0.01295,0.013,0.01278,0.01282,0.386,-1.313,-1.385,0.313,18.18,-1.004
42,NEOUSDT,8.833,8.914,8.765,8.792,0.917,-0.77,-1.369,0.308,18.12,-0.464
70,RNDRUSDT,1.8052,1.8154,1.7881,1.7935,0.565,-0.947,-1.206,0.302,19.78,-0.648
